scene,usgs_shadows,source_url
LC80010112014080LGN00,yes,https://landsat.usgs.gov/node/7
LC80010732013109LGN00,yes,https://landsat.usgs.gov/node/7
LC80060102014147LGN00,yes,https://landsat.usgs.gov/node/7
LC80070662014234LGN00,yes,https://landsat.usgs.gov/node/7
LC80120552013202LGN00,no,https://landsat.usgs.gov/node/7
LC80150312014226LGN00,no,https://landsat.usgs.gov/node/7
LC80160502014041LGN00,yes,https://landsat.usgs.gov/node/7
LC80170312013157LGN00,no,https://landsat.usgs.gov/node/7
LC80180082014215LGN00,no,https://landsat.usgs.gov/node/7
LC80200462014005LGN00,yes,https://landsat.usgs.gov/node/7
LC80210072014236LGN00,no,https://landsat.usgs.gov/node/7
LC80211222013361LGN00,no,https://landsat.usgs.gov/node/7
LC80250022014232LGN00,yes,https://landsat.usgs.gov/node/7
LC80290292014132LGN00,no,https://landsat.usgs.gov/node/7
LC80290372013257LGN00,yes,https://landsat.usgs.gov/node/7
LC80310202013223LGN00,no,https://landsat.usgs.gov/node/7
LC80320382013278LGN00,yes,https://landsat.usgs.gov/node/7
LC80340192014167LGN00,no,https://landsat.usgs.gov/node/7
LC80350192014190LGN00,no,https://landsat.usgs.gov/node/7
LC80410372013357LGN00,no,https://landsat.usgs.gov/node/7
LC80420082013220LGN00,no,https://landsat.usgs.gov/node/7
LC80430122014214LGN00,no,https://landsat.usgs.gov/node/7
LC80441162013330LGN00,no,https://landsat.usgs.gov/node/7
LC80460282014171LGN00,no,https://landsat.usgs.gov/node/7
LC80500092014231LGN00,no,https://landsat.usgs.gov/node/7
LC80500172014247LGN00,no,https://landsat.usgs.gov/node/7
LC80530022014156LGN00,no,https://landsat.usgs.gov/node/7
LC80630152013207LGN00,no,https://landsat.usgs.gov/node/7
LC80640452014041LGN00,yes,https://landsat.usgs.gov/node/7
LC80650182013237LGN00,no,https://landsat.usgs.gov/node/7
LC80670172014206LGN00,no,https://landsat.usgs.gov/node/7
LC80750172013163LGN00,yes,https://landsat.usgs.gov/node/7
LC80760182013170LGN00,no,https://landsat.usgs.gov/node/7
LC80841202014309LGN00,no,https://landsat.usgs.gov/node/7
LC80980712014024LGN00,yes,https://landsat.usgs.gov/node/7
LC80980762014216LGN00,no,https://landsat.usgs.gov/node/7
LC81001082014022LGN00,yes,https://landsat.usgs.gov/node/7
LC81010142014189LGN00,yes,https://landsat.usgs.gov/node/7
LC81020152014036LGN00,no,https://landsat.usgs.gov/node/7
LC81020802014100LGN00,yes,https://landsat.usgs.gov/node/7
LC81030162014107LGN00,no,https://landsat.usgs.gov/node/7
LC81040622014066LGN00,no,https://landsat.usgs.gov/node/7
LC81070152013260LGN00,no,https://landsat.usgs.gov/node/7
LC81080162013171LGN00,no,https://landsat.usgs.gov/node/7
LC81080182014238LGN00,no,https://landsat.usgs.gov/node/7
LC81130632014241LGN00,yes,https://landsat.usgs.gov/node/7
LC81170272014189LGN00,no,https://landsat.usgs.gov/node/7
LC81180382014244LGN00,no,https://landsat.usgs.gov/node/7
LC81220312014208LGN00,yes,https://landsat.usgs.gov/node/7
LC81220422014096LGN00,no,https://landsat.usgs.gov/node/7
LC81240462014238LGN00,no,https://landsat.usgs.gov/node/7
LC81310182013108LGN01,yes,https://landsat.usgs.gov/node/7
LC81320352013243LGN00,no,https://landsat.usgs.gov/node/7
LC81321192014054LGN00,yes,https://landsat.usgs.gov/node/7
LC81330182013186LGN00,no,https://landsat.usgs.gov/node/7
LC81330312013202LGN00,no,https://landsat.usgs.gov/node/7
LC81360302014162LGN00,no,https://landsat.usgs.gov/node/7
LC81390292014135LGN00,no,https://landsat.usgs.gov/node/7
LC81440462014250LGN00,no,https://landsat.usgs.gov/node/7
LC81460162014168LGN00,no,https://landsat.usgs.gov/node/7
LC81490122013218LGN00,no,https://landsat.usgs.gov/node/7
